date,MINIMUM,FIRST,MEDIUM,THIRD,MAXIMUM
2023-07-01,49.5,236.42,285.45,339.94,440.59
2023-07-02,49.5,236.42,285.45,339.94,440.59
2023-07-03,49.5,236.42,285.45,339.94,440.59
2023-07-04,49.5,236.42,285.45,339.94,440.59
2023-07-05,49.5,236.42,285.45,339.94,440.59
2023-07-06,49.5,236.42,285.45,339.94,440.59
2023-07-07,49.5,236.42,285.45,339.94,440.59
2023-07-08,49.5,236.42,285.45,339.94,440.59
2023-07-09,49.5,236.42,285.45,339.94,440.59
2023-07-10,49.5,236.42,285.45,339.94,440.59
2023-07-11,49.5,236.42,285.45,339.94,440.59
2023-07-12,49.5,236.42,285.45,339.94,440.59
2023-07-13,49.5,236.42,285.45,339.94,440.59
2023-07-14,49.5,236.42,285.45,339.94,440.59
2023-07-15,49.5,236.42,285.45,339.94,440.59
2023-07-16,49.5,236.42,285.45,339.94,440.59
2023-07-17,49.5,236.42,285.45,339.94,440.59
2023-07-18,49.5,236.42,285.45,339.94,440.59
2023-07-19,49.5,236.42,285.45,339.94,440.59
2023-07-20,49.5,236.42,285.45,339.94,440.59
2023-07-21,49.5,236.42,285.45,339.94,440.59
2023-07-22,49.5,236.42,285.45,339.94,440.59
2023-07-23,49.5,236.42,285.45,339.94,440.59
2023-07-24,49.5,236.42,285.45,339.94,440.59
2023-07-25,49.5,236.42,285.45,339.94,440.59
2023-07-26,49.5,236.42,285.45,339.94,440.59
2023-07-27,49.5,236.42,285.45,339.94,440.59
2023-07-28,49.5,236.42,285.45,339.94,440.59
2023-07-29,49.5,236.42,285.45,339.94,440.59
2023-07-30,49.5,236.42,285.45,339.94,440.59
2023-07-31,49.5,236.42,285.45,339.94,440.59
2023-08-01,49.48,217.57,267.51,356.49,442.64
2023-08-02,49.48,217.57,267.51,356.49,442.64
2023-08-03,49.48,217.57,267.51,356.49,442.64
2023-08-04,49.48,217.57,267.51,356.49,442.64
2023-08-05,49.48,217.57,267.51,356.49,442.64
2023-08-06,49.48,217.57,267.51,356.49,442.64
2023-08-07,49.48,217.57,267.51,356.49,442.64
2023-08-08,49.48,217.57,267.51,356.49,442.64
2023-08-09,49.48,217.57,267.51,356.49,442.64
2023-08-10,49.48,217.57,267.51,356.49,442.64
2023-08-11,49.48,217.57,267.51,356.49,442.64
2023-08-12,49.48,217.57,267.51,356.49,442.64
2023-08-13,49.48,217.57,267.51,356.49,442.64
2023-08-14,49.48,217.57,267.51,356.49,442.64
2023-08-15,49.48,217.57,267.51,356.49,442.64
2023-08-16,49.48,217.57,267.51,356.49,442.64
